dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,16,text-embedding-3-large,0.7147799774046424,0.3070652173913043
gov-ai,16,text-embedding-3-small,0.6859306660027102,0.21483554933519944
gov-ai,16,text-embedding-ada-002,0.7690706206035371,0.32180851063829785
gov-ai,16,tfidf-char35,0.7251832117734498,0.18617021276595747
gov-ai,16,xlm-roberta-base,0.2312555887969,0.025477707006369425
gov-ai,16,xlm-roberta-large,0.16710161054517503,-0.012962575789253607
gov-ai,6,EmbeddingGemma-Scandi-300m,0.41927271669728305,0.21096940478044346
gov-ai,6,LaBSE,0.17077853554249128,-0.0016389153582906987
gov-ai,6,M2V_base_glove,0.12385644503695348,-0.01160092807424594
gov-ai,6,M2V_base_glove_subword,0.12385644503695348,-0.01160092807424594
gov-ai,6,M2V_base_output,0.12385644503695348,-0.01160092807424594
gov-ai,6,Qwen3-Embedding-0.6B,0.32800664191325335,0.07272508252182376
gov-ai,6,Qwen3-Embedding-Scandi-0.6B,0.37620106201212195,0.04603877449235681
gov-ai,6,bge-m3,0.6319799459217611,0.1839695546936514
gov-ai,6,dfm-sentence-encoder-large,0.2502349862319878,-0.015090769132080312
gov-ai,6,jaccard-binary,0.12385644503695348,-0.01160092807424594
gov-ai,6,m2v-dfm-large,0.27689803700192245,0.06522808999446343
gov-ai,6,mmBERTscandi-base-embedding,0.32800664191325335,0.07272508252182376
gov-ai,6,model2vecdk,0.12385644503695348,-0.01160092807424594
gov-ai,6,model2vecdk-stem,0.31017870210858745,0.10670484478024282
gov-ai,6,multilingual-e5-base,0.28586139013758727,0.07272508252182376
gov-ai,6,multilingual-e5-large,0.12385644503695348,-0.01160092807424594
gov-ai,6,multilingual-e5-large-instruct,0.36647015262096927,0.018923336734096595
gov-ai,6,multilingual-e5-small,0.12385644503695348,-0.01160092807424594
gov-ai,6,mxbai-embed-large-v1,0.33189252710388834,0.06362863582218097
gov-ai,6,nb-sbert-base,0.5547859824001623,0.15088400398719898
gov-ai,6,paraphrase-multilingual-MiniLM-L12-v2,0.33189252710388834,0.06362863582218097
gov-ai,6,paraphrase-multilingual-mpnet-base-v2,0.33189252710388834,0.06362863582218097
gov-ai,6,potion-base-2M,0.6577065736405565,0.26073221199107893
gov-ai,6,potion-base-4M,0.5914884255131831,0.05232422501531014
gov-ai,6,potion-base-8M,0.5123366323101001,-0.0009483381502890173
gov-ai,6,potion-multilingual-128M,0.32800664191325335,0.07272508252182376
gov-ai,6,snowflake-arctic-embed-l-v2.0,0.12385644503695348,-0.01160092807424594
gov-ai,6,static-similarity-mrl-multilingual-v1,0.12385644503695348,-0.01160092807424594
gov-ai,6,text-embedding-3-large,0.5829168958117965,0.20394522847699492
gov-ai,6,text-embedding-3-small,0.5897987655203849,0.18430302712344576
gov-ai,6,text-embedding-ada-002,0.523249851621608,0.20434245393076111
gov-ai,6,tfidf-char35,0.41032804388760225,0.014155712841253791
